,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
1848,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,text work|has text work,,,,http://rdaregistry.info/Elements/w/P10371,has text work,,,,,
1849,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,text for work|is text for work,,,,http://rdaregistry.info/Elements/w/P10372,is text for work,,,,,
1850,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,spoken word work|has spoken word work,,,,http://rdaregistry.info/Elements/w/P10373,has spoken word work,,,,,
1851,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,sounds work|has sounds work,,,,http://rdaregistry.info/Elements/w/P10374,has sounds work,,,,,
1852,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,spoken word for work|is spoken word for work,,,,http://rdaregistry.info/Elements/w/P10375,is spoken word for work,,,,,
1853,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,sounds for work|is sounds for work,,,,http://rdaregistry.info/Elements/w/P10376,is sounds for work,,,,,
1854,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,transformation by extension plan|has transformation by extension plan,,,,http://rdaregistry.info/Elements/w/P10377,has transformation by extension plan,,,,,
1855,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,transformation by extension plan of|is transformation by extension plan of,,,,http://rdaregistry.info/Elements/w/P10378,is transformation by extension plan of,,,,,
1856,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,sequential version|has sequential version,,,,http://rdaregistry.info/Elements/w/P10379,has sequential version,,,,,
1857,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,sequential version of|is sequential version of,,,,http://rdaregistry.info/Elements/w/P10380,is sequential version of,,,,,
1858,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,serialized version|has serialized version,,,,http://rdaregistry.info/Elements/w/P10381,has serialized version,,,,,
1859,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,static version|has static version,,,,http://rdaregistry.info/Elements/w/P10382,has static version,,,,,
1860,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,transformation by audience|has transformation by audience,,,,http://rdaregistry.info/Elements/w/P10383,has transformation by audience,,,,,
1861,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,transformation by audience o|is transformation by audience o,,,,http://rdaregistry.info/Elements/w/P10384,is transformation by audience o,,,,,
1862,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,language version|has language version,,,,http://rdaregistry.info/Elements/w/P10385,has language version,,,,,
1863,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,regional version|has regional version,,,,http://rdaregistry.info/Elements/w/P10386,has regional version,,,,,
1864,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,carrier version|has carrier version,,,,http://rdaregistry.info/Elements/w/P10387,has carrier version,,,,,
1865,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,language version of|is language version of,,,,http://rdaregistry.info/Elements/w/P10388,is language version of,,,,,
1866,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,regional version of|is regional version of,,,,http://rdaregistry.info/Elements/w/P10389,is regional version of,,,,,
1867,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,carrier version of|is carrier version of,,,,http://rdaregistry.info/Elements/w/P10390,is carrier version of,,,,,
1868,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,serialized version of|is serialized version of,,,,http://rdaregistry.info/Elements/w/P10391,is serialized version of,,,,,
1869,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,static version of|is static version of,,,,http://rdaregistry.info/Elements/w/P10392,is static version of,,,,,
1870,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,special issue|has special issue,,,,http://rdaregistry.info/Elements/w/P10410,has special issue,,,,,
1871,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,special issue of|is special issue of,,,,http://rdaregistry.info/Elements/w/P10411,is special issue of,,,,,
1872,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video screenplay work|has video screenplay work,,,,http://rdaregistry.info/Elements/w/P10164,has video screenplay work,,,,,
1873,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for motion picture work|is music for motion picture work,,,,http://rdaregistry.info/Elements/w/P10245,is music for motion picture work,,,,,
1874,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,transformation by audience of|is transformation by audience of,,,,http://rdaregistry.info/Elements/w/P10384,is transformation by audience of,,,,,
1875,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as radio program expression|is adapted as radio program expression,,,,http://rdaregistry.info/Elements/e/P20060,is adapted as radio program expression,,,,,
1876,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as television program expression|is adapted as television program expression,,,,http://rdaregistry.info/Elements/e/P20066,is adapted as television program expression,,,,,
1877,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as video expression|is adapted as video expression,,,,http://rdaregistry.info/Elements/e/P20067,is adapted as video expression,,,,,
1878,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,dramatized as expression|is dramatized as expression,,,,http://rdaregistry.info/Elements/e/P20073,is dramatized as expression,,,,,
1879,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,part of expression|is part of expression,,,,http://rdaregistry.info/Elements/e/P20074,is part of expression,,,,,
1880,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted in verse as expression|is adapted in verse as expression,,,,http://rdaregistry.info/Elements/e/P20077,is adapted in verse as expression,,,,,
1881,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,dubbed version of|is dubbed version of,,,,http://rdaregistry.info/Elements/e/P20078,is dubbed version of,,,,,
1882,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,dubbed version|has dubbed version,,,,http://rdaregistry.info/Elements/e/P20079,has dubbed version,,,,,
1883,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,cadenza expression|has cadenza expression,,,,http://rdaregistry.info/Elements/e/P20080,has cadenza expression,,,,,
1884,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,variations based on expression|is variations based on expression,,,,http://rdaregistry.info/Elements/e/P20081,is variations based on expression,,,,,
1885,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,modified by variation as expression|is modified by variation as expression,,,,http://rdaregistry.info/Elements/e/P20082,is modified by variation as expression,,,,,
1886,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,cadenza composed for expression|is cadenza composed for expression,,,,http://rdaregistry.info/Elements/e/P20083,is cadenza composed for expression,,,,,
1887,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,libretto for expression|is libretto for expression,,,,http://rdaregistry.info/Elements/e/P20084,is libretto for expression,,,,,
1888,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,incidental music expression|has incidental music expression,,,,http://rdaregistry.info/Elements/e/P20085,has incidental music expression,,,,,
1889,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,remade as expression|is remade as expression,,,,http://rdaregistry.info/Elements/e/P20086,is remade as expression,,,,,
1890,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,set to music as expression|is set to music as expression,,,,http://rdaregistry.info/Elements/e/P20087,is set to music as expression,,,,,
1891,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as novel expression|is adapted as novel expression,,,,http://rdaregistry.info/Elements/e/P20088,is adapted as novel expression,,,,,
1892,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,appendix to expression|is appendix to expression,,,,http://rdaregistry.info/Elements/e/P20089,is appendix to expression,,,,,
1893,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abstracted in expression|is abstracted in expression,,,,http://rdaregistry.info/Elements/e/P20090,is abstracted in expression,,,,,
1894,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,indexed in expression|is indexed in expression,,,,http://rdaregistry.info/Elements/e/P20091,is indexed in expression,,,,,
1895,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as choreography expression|is adapted as choreography expression,,,,http://rdaregistry.info/Elements/e/P20092,is adapted as choreography expression,,,,,
1896,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,errata expression|has errata expression,,,,http://rdaregistry.info/Elements/e/P20093,has errata expression,,,,,
1897,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,illustrations expression|has illustrations expression,,,,http://rdaregistry.info/Elements/e/P20094,has illustrations expression,,,,,
1898,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as motion picture screenplay expression|is adapted as motion picture screenplay expression,,,,http://rdaregistry.info/Elements/e/P20095,is adapted as motion picture screenplay expression,,,,,
1899,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as screenplay expression|is adapted as screenplay expression,,,,http://rdaregistry.info/Elements/e/P20096,is adapted as screenplay expression,,,,,
1900,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as television screenplay expression|is adapted as television screenplay expression,,,,http://rdaregistry.info/Elements/e/P20097,is adapted as television screenplay expression,,,,,
1901,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as video screenplay expression|is adapted as video screenplay expression,,,,http://rdaregistry.info/Elements/e/P20098,is adapted as video screenplay expression,,,,,
1902,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as radio script expression|is adapted as radio script expression,,,,http://rdaregistry.info/Elements/e/P20099,is adapted as radio script expression,,,,,
1903,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,complemented by expression|is complemented by expression,,,,http://rdaregistry.info/Elements/e/P20100,is complemented by expression,,,,,
1904,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay for expression|is screenplay for expression,,,,http://rdaregistry.info/Elements/e/P20102,is screenplay for expression,,,,,
1905,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,incidental music for expression|is incidental music for expression,,,,http://rdaregistry.info/Elements/e/P20103,is incidental music for expression,,,,,
1906,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abstracted as expression|is abstracted as expression,,,,http://rdaregistry.info/Elements/e/P20104,is abstracted as expression,,,,,
1907,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,augmented by expression|is augmented by expression,,,,http://rdaregistry.info/Elements/e/P20105,is augmented by expression,,,,,
1908,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,summarized as expression|is summarized as expression,,,,http://rdaregistry.info/Elements/e/P20106,is summarized as expression,,,,,
1909,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,catalogue expression|has catalogue expression,,,,http://rdaregistry.info/Elements/e/P20107,has catalogue expression,,,,,
1910,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,concordance expression|has concordance expression,,,,http://rdaregistry.info/Elements/e/P20108,has concordance expression,,,,,
1911,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,addenda expression|has addenda expression,,,,http://rdaregistry.info/Elements/e/P20109,has addenda expression,,,,,
1912,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as libretto expression|is adapted as libretto expression,,,,http://rdaregistry.info/Elements/e/P20110,is adapted as libretto expression,,,,,
1913,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,imitated as expression|is imitated as expression,,,,http://rdaregistry.info/Elements/e/P20114,is imitated as expression,,,,,
1914,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expanded as expression|is expanded as expression,,,,http://rdaregistry.info/Elements/e/P20115,is expanded as expression,,,,,
1915,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,appendix expression|has appendix expression,,,,http://rdaregistry.info/Elements/e/P20118,has appendix expression,,,,,
1916,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,freely translated as expression|is freely translated as expression,,,,http://rdaregistry.info/Elements/e/P20119,is freely translated as expression,,,,,
1917,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,guide expression|has guide expression,,,,http://rdaregistry.info/Elements/e/P20120,has guide expression,,,,,
1918,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abridgement of expression|is abridgement of expression,,,,http://rdaregistry.info/Elements/e/P20121,is abridgement of expression,,,,,
1919,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abstract of expression|is abstract of expression,,,,http://rdaregistry.info/Elements/e/P20122,is abstract of expression,,,,,
1920,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,dramatization of expression|is dramatization of expression,,,,http://rdaregistry.info/Elements/e/P20123,is dramatization of expression,,,,,
1921,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,verse adaptation of expression|is verse adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20124,is verse adaptation of expression,,,,,
1922,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture adaptation of expression|is motion picture adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20125,is motion picture adaptation of expression,,,,,
1923,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,novelization of expression|is novelization of expression,,,,http://rdaregistry.info/Elements/e/P20126,is novelization of expression,,,,,
1924,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio adaptation of expression|is radio adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20127,is radio adaptation of expression,,,,,
1925,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television adaptation of expression|is television adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20128,is television adaptation of expression,,,,,
1926,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay based on expression|is screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20129,is screenplay based on expression,,,,,
1927,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture screenplay based on expression|is motion picture screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20130,is motion picture screenplay based on expression,,,,,
1928,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television screenplay based on expression|is television screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20131,is television screenplay based on expression,,,,,
1929,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video screenplay based on expression|is video screenplay based on expression,,,,http://rdaregistry.info/Elements/e/P20132,is video screenplay based on expression,,,,,
1930,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio script based on expression|is radio script based on expression,,,,http://rdaregistry.info/Elements/e/P20133,is radio script based on expression,,,,,
1931,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video adaptation of expression|is video adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20134,is video adaptation of expression,,,,,
1932,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,digest of expression|is digest of expression,,,,http://rdaregistry.info/Elements/e/P20135,is digest of expression,,,,,
1933,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,arrangement of|is arrangement of,,,,http://rdaregistry.info/Elements/e/P20139,is arrangement of,,,,,
1934,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,free translation of expression|is free translation of expression,,,,http://rdaregistry.info/Elements/e/P20140,is free translation of expression,,,,,
1935,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,translation of|is translation of,,,,http://rdaregistry.info/Elements/e/P20141,is translation of,,,,,
1936,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,parodied as expression|is parodied as expression,,,,http://rdaregistry.info/Elements/e/P20142,is parodied as expression,,,,,
1937,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,part expression|has part expression,,,,http://rdaregistry.info/Elements/e/P20145,has part expression,,,,,
1938,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,errata to expression|is errata to expression,,,,http://rdaregistry.info/Elements/e/P20146,is errata to expression,,,,,
1939,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,guide to expression|is guide to expression,,,,http://rdaregistry.info/Elements/e/P20147,is guide to expression,,,,,
1940,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,illustrations for expression|is illustrations for expression,,,,http://rdaregistry.info/Elements/e/P20148,is illustrations for expression,,,,,
1941,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,supplement to expression|is supplement to expression,,,,http://rdaregistry.info/Elements/e/P20151,is supplement to expression,,,,,
1942,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adaptation of expression|is adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20152,is adaptation of expression,,,,,
1943,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as expression|is adapted as expression,,,,http://rdaregistry.info/Elements/e/P20153,is adapted as expression,,,,,
1944,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,finding aid expression|has finding aid expression,,,,http://rdaregistry.info/Elements/e/P20155,has finding aid expression,,,,,
1945,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,index expression|has index expression,,,,http://rdaregistry.info/Elements/e/P20156,has index expression,,,,,
1946,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay expression|has screenplay expression,,,,http://rdaregistry.info/Elements/e/P20157,has screenplay expression,,,,,
1947,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture screenplay expression|has motion picture screenplay expression,,,,http://rdaregistry.info/Elements/e/P20158,has motion picture screenplay expression,,,,,
1948,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,musical setting of expression|is musical setting of expression,,,,http://rdaregistry.info/Elements/e/P20159,is musical setting of expression,,,,,
1949,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio script expression|has radio script expression,,,,http://rdaregistry.info/Elements/e/P20160,has radio script expression,,,,,
1950,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television screenplay expression|has television screenplay expression,,,,http://rdaregistry.info/Elements/e/P20161,has television screenplay expression,,,,,
1951,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video screenplay expression|has video screenplay expression,,,,http://rdaregistry.info/Elements/e/P20162,has video screenplay expression,,,,,
1952,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,libretto expression|has libretto expression,,,,http://rdaregistry.info/Elements/e/P20163,has libretto expression,,,,,
1953,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,paraphrased as expression|is paraphrased as expression,,,,http://rdaregistry.info/Elements/e/P20164,is paraphrased as expression,,,,,
1954,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,arranged as|is arranged as,,,,http://rdaregistry.info/Elements/e/P20165,is arranged as,,,,,
1955,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abridged as expression|is abridged as expression,,,,http://rdaregistry.info/Elements/e/P20166,is abridged as expression,,,,,
1956,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,digested as expression|is digested as expression,,,,http://rdaregistry.info/Elements/e/P20170,is digested as expression,,,,,
1957,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,translated as|is translated as,,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
