Status	MARCField	MARCFieldLabel	MARCInd1Label	MARCInd1Value	MARCInd1ValueLabel	MARCInd2Label	MARCInd2Value	MARCInd2ValueLabel	CharacterPosition	CharacterPositionLabel	MARCSubfield	MARCSubfieldLabel	CodeValue	CodeValueLabel	MARCTagCondition1	Condition1Values	MARCTagCondition2	Condition2Values	RDA Registry URI	RDA Registry Label	Recording Method	Justification for Mapping	Transformation Notes	Problems with Mapping	Notes (Uncategorized)
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	Extent (NR)													
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			b	Other physical details (NR)													
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			c	Dimensions (NR)													
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			d	Microgroove or standard (NR)													
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			e	"Stereophonic, monaural (NR)"													
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			f	Number of tracks (NR)													
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			m	Serial identification (NR)													
	305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			n	Matrix and/or take number (NR)													
loss	306	PLAYING TIME (NR)	Undefined	*		Undefined	*				a	Playing time (R)							http://rdaregistry.info/Elements/e/P20219	has duration	structured description		[Expression]-->rdae:P20219-->[value of $a] -- ZP 3/26/2022	"Coded in the time format hhmmss, which may be lost without the MARC tag context. A note on metadata could be added to clarify the encoding format -- ZP 3/26/2022"	
delete	306	PLAYING TIME (NR)	Undefined	*		Undefined	*				a	Playing time (R)							http://rdaregistry.info/Elements/e/P20307	has related timespan of expression					Not specific enough -- ZP 3/26/2022
	307	"HOURS, ETC. (R)"	Display constant controller	#	Hours	Undefined	#	Undefined			a	Hours (NR)													
	307	"HOURS, ETC. (R)"	Display constant controller	8	No display constant generated	Undefined	#	Undefined			a	Hours (NR)													
	307	"HOURS, ETC. (R)"	Display constant controller	#	Hours	Undefined	#	Undefined			b	Additional information (NR)													
	307	"HOURS, ETC. (R)"	Display constant controller	8	No display constant generated	Undefined	#	Undefined			b	Additional information (NR)													
	308	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	Number of reels (NR)													
	308	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			b	Footage (NR)													
	308	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			c	Sound characteristics (NR)													
	308	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			d	Color characteristics (NR)													
	308	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			e	Width (NR)													
	308	PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			f	Presentation format (NR)													
	310	CURRENT PUBLICATION FREQUENCY (R)	Undefined	*		Undefined	*				a	Current publication frequency (NR)							http://rdaregistry.info/Elements/w/P10368	has frequency					
	310	CURRENT PUBLICATION FREQUENCY (R)	Undefined	#	Undefined	Undefined	#	Undefined			b	Date of current publication frequency (NR)													
	315	FREQUENCY (NR) (CF MP) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	Frequency (R)													
	315	FREQUENCY (NR) (CF MP) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			b	Dates of frequency (R)													
	321	FORMER PUBLICATION FREQUENCY (R)	Undefined	*		Undefined	*				a	Former publication frequency (NR)							http://rdaregistry.info/Elements/w/P10368	has frequency					
	321	FORMER PUBLICATION FREQUENCY (R)	Undefined	#	Undefined	Undefined	#	Undefined			b	Dates of former publication frequency (NR)													
	334	MODE OF ISSUANCE (R)	Undefined	*		Undefined	*				a	Mode of issuance term (NR)							http://rdaregistry.info/Elements/m/P30003	has mode of issuance	structured description or unstructured description	Term that describes the mode of issuance for a manifestation			
	334	MODE OF ISSUANCE (R)	Undefined	*		Undefined	*				b	Mode of issuance code (NR)							http://rdaregistry.info/Elements/m/P30003	has mode of issuance	identifier	Code that represents the mode of issuance for a manifestation			
	335	EXTENSION PLAN (R)	Undefined	*		Undefined	*				a	Extension plan term (NR)							http://rdaregistry.info/Elements/w/P10365	has extension plan	structured description or unstructured description	Term that describes the extension plan for a manifestation			
	335	EXTENSION PLAN (R)	Undefined	*		Undefined	*				b	Extension plan code (NR)							http://rdaregistry.info/Elements/w/P10365	has extension plan	identifier	Code that represents the extension plan for a manifestation			
	336	CONTENT TYPE (R)	Undefined	*		Undefined	*				a	Content type term (R)							http://rdaregistry.info/Elements/e/P20001	has content type	structured description or unstructured description	Term that describes the content type for a manifestation			
	336	CONTENT TYPE (R)	Undefined	*		Undefined	*				b	Content type code (R)							http://rdaregistry.info/Elements/e/P20001	has content type	identifier	Code that represents the content type for a manifestation			
