Not Mapped,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized),Milestone
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10573,has rapporteur family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10575,has choreographer family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10576,has cartographer family of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10577,has author family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10578,has creator family of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10579,has architect family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10581,has programmer family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10582,has designer family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10583,has composer family of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10584,has inventor family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10585,has compiler family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10586,has photographer family of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10587,has interviewer family of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10588,has interviewee family of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10589,has aggregator family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10590,has remix artist family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10591,has filmmaker family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10592,has artist family,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,q,Fuller form of name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10313,has related family of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,q,Fuller form of name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10315,has related collective agent of work,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,q,Fuller form of name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10472,has landscape architect collective agent,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,q,Fuller form of name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10473,has calligrapher collective agent,,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,q,Fuller form of name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10474,has sculptor collective agent,,,,,,
